"ID" "issue"
"301_28001" "Not sex 5"
"TL2_208" "Not sex 5"
"BU1_5002" "Not sex 5"
"SA2_512B" "Not sex 5"
"W43_3212" "Not sex 5"
"W43_3213" "Not sex 5"
"W43_3214" "Not sex 5"
"W43_3215" "Not sex 5"
"W43_3216" "Not sex 5"
"W43_3217" "Not sex 5"
"W43_3218" "Not sex 5"
"W43_3219" "Not sex 5"
"W43_3220" "Not sex 5"
"W43_3221" "Not sex 5"
"W43_3222" "Not sex 5"
"W43_3223" "Not sex 5"
"W43_3224" "Not sex 5"
"W43_3225" "Not sex 5"
"W43_3226" "Not sex 5"
"W43_3227" "Not sex 5"
"W43_3228" "Not sex 5"
"W43_3229" "Not sex 5"
"W43_3230" "Not sex 5"
"W43_3231" "Not sex 5"
"W43_3232" "Not sex 5"
"W43_3233" "Not sex 5"
"W43_3234" "Not sex 5"
"W43_3235" "Not sex 5"
"W43_3236" "Not sex 5"
"W43_3237" "Not sex 5"
"W43_3238" "Not sex 5"
"W43_3207" "Not sex 5"
"W43_3208" "Not sex 5"
"W43_3209" "Not sex 5"
"W43_3210" "Not sex 5"
"W43_3211" "Not sex 5"
"W43_3039" "Not sex 5"
"WC2_3252" "Not sex 5"
"cry_11" "too young to sex"
"cry_30" "too young to sex"
"cry_07" "too young to sex"
"3C7_D5" "too young to sex"
"FAB_05700" "too young to sex"
"41D_0090" "too young to sex"
"41D_0191" "too young to sex"
"41D_0320" "too young to sex"
"41D_0466" "too young to sex"
"41D_0986" "too young to sex"
"41D_1319" "too young to sex"
"41D_1513" "too young to sex"
"ftl_00083" "too young to sex"
"ftl_08510" "too young to sex"
"stt_B197-" "too young to sex"
"stt_B215-" "too young to sex"
"HPK_00030" "too young to sex"
"HPK_00050" "too young to sex"
"HPK_00051" "too young to sex"
"HPK_00052" "too young to sex"
"HPK_0055b" "too young to sex"
"HPK_00063" "too young to sex"
"HPK_00065" "too young to sex"
"HPK_0073b" "too young to sex"
"HPK_00077" "too young to sex"
"HPK_0084a" "too young to sex"
"HPK_0084b" "too young to sex"
"HPK_00085" "too young to sex"
"HPK_00089" "too young to sex"
"HPK_0198b" "too young to sex"
"flo_0C1E5" "too young to sex"
"SA1_623E3" "too young to sex"
"AYA_0007B" "too young to sex"
"AYA_0030F" "too young to sex"
"AYA_0052A" "too young to sex"
"SPR_03579" "too young to sex"
"co9_17-51" "too young to sex"
"teo_0016a" "too young to sex"
"CUI_164" "too young to sex"
"J74_09-A" "too young to sex"
"TL2_79-A" "too young to sex"
"TL2_119" "too young to sex"
"TL2_132" "too young to sex"
"TL2_196" "too young to sex"
"TL2_212" "too young to sex"
"AZ1_24B" "too young to sex"
"AZ1_54" "too young to sex"
"AZ1_61" "too young to sex"
"AZ1_69" "too young to sex"
"AZ1_72" "too young to sex"
"AZ1_74" "too young to sex"
"AZ1_102" "too young to sex"
"AZ1_109" "too young to sex"
"AZ1_112B" "too young to sex"
"AZ1_127" "too young to sex"
"MR1_030" "too young to sex"
"MR1_2C4" "too young to sex"
"MR1_7C6" "too young to sex"
"MR1_10A" "too young to sex"
"MR1_17C4" "too young to sex"
"MR1_19" "too young to sex"
"MR1_21C1" "too young to sex"
"MR1_22C5B" "too young to sex"
"MR1_24" "too young to sex"
"MR1_25C1" "too young to sex"
"MR1_25C5" "too young to sex"
"MR1_25C6" "too young to sex"
"MR1_27C2" "too young to sex"
"MR1_27C16" "too young to sex"
"MR6_45" "too young to sex"
"CAM_1C2" "too young to sex"
"WO7_2791" "too young to sex"
"WO7_2893" "too young to sex"
"CHB_90" "too young to sex"
"ESB_2352D" "too young to sex"
"ESB_3233" "too young to sex"
"ESB_5454" "too young to sex"
"ESB_5838B" "too young to sex"
"ESB_811" "too young to sex"
"ESB_8819A" "too young to sex"
"BFT_41893" "too young to sex"
"BFT_4189D" "too young to sex"
"BFT_41901" "too young to sex"
