"age" "ML" "FL" "AL" "M3SD" "F3SD" "A3SD"
0.125 86 87.2 86.6 70.43838 74.91451 72.676445
0.25 100.7 100.8 100.75 85.13838 88.86552 87.00195
0.5 112.2 111.1 111.65 96.17036 97.76147 96.965915
1 136.6 134.6 135.6 120.68736 121.02746 120.85741
1.5 155.4 153.9 154.65 135.86022 132.37114 134.11568
2 172.4 170.8 171.6 152.74321 148.68612 150.714665
2.5 187.2 185.2 186.2 165.55413 159.92699 162.74056
3 200.3 198.4 199.35 176.08003 170.43588 173.257955
3.5 212.1 211.1 211.6 181.91279 180.09376 181.003275
4 224.1 223.2 223.65 196.7209 189.61966 193.17028
4.5 235.7 235.5 235.6 206.09782 198.29251 202.195165
5 247.5 247 247.25 215.44072 214.00468 214.7227
6 269.7 268.9 269.3 232.60952 227.12933 229.869425
7 291.1 288.8 289.95 252.02044 247.84836 249.9344
8 312.1 309.8 310.95 268.22324 261.24306 264.73315
9 330.4 328.7 329.55 287.8103 274.05881 280.934555
10 349.3 347.9 348.6 301.32808 290.09969 295.713885
11 367 367 367 319.14509 292.81903 305.98206
12 386.1 387.6 386.85 332.62886 320.90733 326.768095
18 511.7 462.9 487.3 438.45507 377.9546 408.204835
