"age" "FL" "F3SD" "ML" "M3SD" "UL" "U3SD"
0.125 87.2 74.91451 86 72.676445 86 70.43838
0.25 100.8 88.86552 100.7 87.00195 100.7 85.13838
0.5 111.1 97.76147 112.2 96.965915 111.1 96.17036
1 134.6 121.02746 136.6 120.85741 134.6 120.68736
1.5 153.9 132.37114 155.4 134.11568 153.9 132.37114
2 170.8 148.68612 172.4 150.714665 170.8 148.68612
2.5 185.2 159.92699 187.2 162.74056 185.2 159.92699
3 198.4 170.43588 200.3 173.257955 198.4 170.43588
3.5 211.1 180.09376 212.1 181.003275 211.1 180.09376
4 223.2 189.61966 224.1 193.17028 223.2 189.61966
4.5 235.5 198.29251 235.7 202.195165 235.5 198.29251
5 247 214.00468 247.5 214.7227 247 214.00468
6 268.9 227.12933 269.7 229.869425 268.9 227.12933
7 288.8 247.84836 291.1 249.9344 288.8 247.84836
8 309.8 261.24306 312.1 264.73315 309.8 261.24306
9 328.7 274.05881 330.4 280.934555 328.7 274.05881
10 347.9 290.09969 349.3 295.713885 347.9 290.09969
11 367 292.81903 367 305.98206 367 292.81903
12 387.6 320.90733 386.1 326.768095 386.1 320.90733
18 462.9 377.9546 511.7 408.204835 462.9 377.9546
