"Site" "num" "HI" "QALY" "lifeEx" "Pyl" "Stature" "Hypoplasia" "Anemia" "Dental" "Infection" "DJD" "Trauma"
"103" 1 100 26.38 15 15 NA NA 100 100 100 NA 100
"108" 1 100 26.38 16 16 NA NA NA 100 100 NA 100
"W0D" 8 100 26.38 37 296 NA NA NA NA 100 NA 100
"W13" 1 100 26.38 37 37 NA NA NA 100 100 NA 100
"W20" 3 100 26.38 37 111 NA NA NA 100 100 NA 100
"W26" 1 100 26.38 37 37 NA NA NA 100 100 NA 100
"W28" 1 100 26.38 48 48 NA NA NA NA 100 NA 100
"W31" 1 100 26.38 37 37 NA NA NA NA 100 NA 100
"W42" 2 100 26.38 37 74 NA NA NA 100 100 NA 100
"W4a" 2 100 26.38 37 74 NA NA NA 100 100 NA 100
"W6A" 2 100 26.38 37 74 NA NA NA 100 100 NA 100
"WB8" 4 100 26.38 37 148 NA 100 NA 100 100 NA 100
"WBX" 1 100 26.38 37 37 NA NA NA NA 100 NA 100
"WI9" 1 100 26.38 37 37 NA NA NA NA 100 NA 100
"wR3" 3 100 26.38 37 111 NA NA NA NA 100 NA 100
"W81" 17 99.7 26.3 37 629 NA NA NA 99.1 100 NA 100
"W05" 1 99.62 26.28 48 48 NA NA NA 98.85 100 NA 100
"W72" 9 99.56 26.26 37 333 NA NA NA 98.67 100 NA 100
"W38" 47 99.54 26.26 37 1739 NA NA NA 98.62 100 NA 100
"WR6" 11 99.3 26.19 37 407 NA NA NA 97.89 100 NA 100
"W73" 5 99.25 26.18 37 185 NA NA NA 97.76 100 NA 100
"W84" 5 99.21 26.17 37 185 NA NA NA 97.64 100 NA 100
"WI8" 8 99.15 26.16 37 296 NA NA NA 97.45 100 NA 100
"WRR" 2 99.12 26.15 37 74 NA NA NA 97.36 100 NA 100
"W06" 4 99.02 26.12 37 148 NA NA NA 97.07 100 NA 100
"W58" 3 99.02 26.12 37 111 NA NA NA 97.07 100 NA 100
"W87" 4 98.84 26.07 37 148 NA NA NA 96.53 100 NA 100
"WV1" 9 98.75 26.05 37 333 NA NA NA 96.25 100 NA 100
"W30" 3 98.71 26.04 37 111 NA NA NA 100 96.14 NA 100
"WC6" 15 98.6 26.01 37 555 NA NA NA 95.81 100 NA 100
"W04" 5 98.56 26 37 185 NA NA NA 95.69 100 NA 100
"WA7" 12 98.49 25.98 37 444 NA NA NA 95.47 100 NA 100
"W86" 2 98.39 25.96 37 74 NA NA NA 95.17 100 NA 100
